City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Show Low,US,34.2542,-110.0298,43.3,89,1,11.5,clear sky
283,Leningradskiy,RU,69.3833,178.4167,-12.15,97,100,7.81,overcast clouds
284,Airai,TL,-8.9266,125.4092,60.03,97,100,4.41,moderate rain
285,Labuhan,ID,-6.8844,112.2051,83.68,71,92,6.82,overcast clouds
286,Kieta,PG,-6.2167,155.6333,81.09,79,100,2.06,overcast clouds
287,Kawalu,ID,-7.3817,108.2082,76.51,84,100,1.63,overcast clouds
288,Daru,PG,-9.0763,143.2092,83.77,74,100,0.31,light rain
289,Vila Velha,BR,-20.3297,-40.2925,70.95,85,0,3.44,clear sky
290,Acapulco,MX,16.8634,-99.8901,80.42,69,40,3.44,scattered clouds
291,Mizan Teferi,ET,6.9833,35.5833,60.46,93,49,2.82,light rain
292,Novikovo,RU,51.1537,37.8879,10.67,94,100,4.05,overcast clouds
293,Manggar,ID,-2.8833,108.2667,81.81,76,99,5.75,overcast clouds
294,San Patricio,US,28.017,-97.5169,72.84,84,5,9.48,clear sky
295,Iqaluit,CA,63.7506,-68.5145,-0.31,70,20,13.0,few clouds
296,Bubaque,GW,11.2833,-15.8333,79.32,73,100,7.54,overcast clouds
297,Cherskiy,RU,68.75,161.3,-23.4,99,100,4.61,overcast clouds
298,Gamba,GA,-2.65,10.0,76.77,91,87,5.48,overcast clouds
299,Adre,TD,13.4667,22.2,63.59,20,96,12.39,overcast clouds
300,Bjornevatn,NO,69.6672,29.9847,25.14,93,75,16.11,snow
301,Beyla,GN,8.6833,-8.6333,70.05,35,32,2.15,scattered clouds
302,Kudahuvadhoo,MV,2.6708,72.8944,81.37,64,85,15.3,overcast clouds
303,Mount Gambier,AU,-37.8333,140.7667,65.21,47,23,13.49,few clouds
304,Itarema,BR,-2.9248,-39.9167,80.31,78,100,9.75,overcast clouds
305,Aykhal,RU,66.0,111.5,-31.59,100,85,1.97,overcast clouds
306,Castro,BR,-24.7911,-50.0119,61.68,57,43,3.96,scattered clouds
307,Kununurra,AU,-15.7667,128.7333,85.98,66,90,14.97,overcast clouds
308,Matara,LK,5.9485,80.5353,73.6,77,4,7.31,clear sky
309,Lieksa,FI,63.3167,30.0167,8.65,93,100,8.5,overcast clouds
310,Narsaq,GL,60.9167,-46.05,44.82,49,100,20.0,overcast clouds
311,Hami,CN,42.8,93.45,20.88,29,2,5.44,clear sky
312,Kachiry,KZ,53.0675,76.1036,11.57,95,100,9.15,overcast clouds
313,Nikko,JP,36.75,139.6167,33.94,57,66,14.32,light rain
314,Ixtapa,MX,20.7,-105.2,72.23,83,1,0.0,clear sky
315,Sao Filipe,CV,14.8961,-24.4956,76.46,66,55,8.86,broken clouds
316,Araouane,ML,18.9048,-3.5265,65.34,19,0,6.96,clear sky
317,Karpathos,GR,35.507,27.2132,58.96,67,2,9.22,clear sky
318,Aguimes,ES,27.9054,-15.4461,59.63,67,0,0.0,clear sky
319,Anuradhapura,LK,8.3565,80.4173,70.38,84,21,3.76,few clouds
320,Miramar,US,25.9873,-80.2323,73.42,80,1,0.0,clear sky
321,Malinyi,TZ,-8.9333,36.1333,70.59,86,38,1.72,scattered clouds
322,Okato,NZ,-39.2,173.8833,76.42,57,27,7.05,scattered clouds
323,Bitung,ID,1.4451,125.1824,79.65,70,94,10.4,overcast clouds
324,Waipawa,NZ,-41.4122,175.5153,68.63,51,0,6.22,clear sky
325,Walvis Bay,NA,-22.9575,14.5053,61.09,88,0,3.44,clear sky
326,Ramgarh,IN,23.6333,85.5167,57.25,51,0,3.47,clear sky
327,Maceio,BR,-9.6658,-35.7353,80.04,89,75,4.61,moderate rain
328,Chumphon,TH,10.3333,98.8333,78.91,69,20,6.58,few clouds
329,Hofn,IS,64.2539,-15.2082,32.13,96,100,14.14,light snow
330,Rio Grande,BR,-32.035,-52.0986,72.59,81,47,16.42,scattered clouds
331,Zalantun,CN,48.0,122.7167,-6.05,71,10,7.47,clear sky
332,Puerto Escondido,MX,15.85,-97.0667,79.63,73,20,0.0,few clouds
333,Raga,SS,8.4596,25.678,69.17,27,87,4.41,overcast clouds
334,Naze,JP,28.3667,129.4833,52.72,69,100,19.6,overcast clouds
